0.8879 	EXP 	instructionsText: autoDraw = False
0.8879 	EXP 	cue: image = 'posner/cue_box.png'
0.8879 	EXP 	target: image = 'posner/target_dot.png'
0.8879 	EXP 	fixation: autoDraw = True
0.8879 	EXP 	boxLeft: autoDraw = True
0.8879 	EXP 	boxRight: autoDraw = True
1.0144 	EXP 	Device response: <KeyPress from None: t=0.8772945404052734, value=right, duration=0.13295555114746094>
1.3686 	EXP 	cue: autoDraw = True
1.3811 	EXP 	CODE: 12 TRIGGER: (CUE_RIGHT) TIMESTAMP: 4.426256
1.4561 	EXP 	cue: autoDraw = False
1.9897 	INFO 	Keyboard events cleared
1.9896 	EXP 	target: autoDraw = True
2.0022 	EXP 	CODE: 22 TRIGGER: (TARGET_RIGHT) TIMESTAMP: 5.047363
2.2816 	EXP 	Device response: <KeyPress from None: t=2.279463291168213, value=right, duration=None>
2.2816 	EXP 	CODE: 31 TRIGGER: (RESPONSE_CORRECT) TIMESTAMP: 5.326761
2.2817 	EXP 	CODE: 40 TRIGGER: (ITI_ONSET) TIMESTAMP: 5.326803
2.2819 	DATA 	Keypress: right
2.2856 	EXP 	fixation: autoDraw = False
2.2856 	EXP 	boxLeft: autoDraw = False
2.2856 	EXP 	boxRight: autoDraw = False
2.2856 	EXP 	cue: autoDraw = False
2.2856 	EXP 	target: autoDraw = False
2.2856 	EXP 	blank: autoDraw = True
2.4024 	EXP 	Device response: <KeyPress from None: t=2.279463291168213, value=right, duration=0.12195849418640137>
3.1405 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'cueType': 'exogenous', 'validity': 'valid', 'cueSide': 'left', 'targetSide': 'left', 'cueFile': 'posner/cue_box.png', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
3.1417 	EXP 	CODE: 0 TRIGGER: (FIX_ONSET) TIMESTAMP: 6.186801
3.1442 	EXP 	blank: autoDraw = False
3.1442 	EXP 	blank: autoDraw = False
3.1442 	EXP 	cue: image = 'posner/cue_box.png'
3.1442 	EXP 	target: image = 'posner/target_dot.png'
3.1442 	EXP 	fixation: autoDraw = True
3.1442 	EXP 	boxLeft: autoDraw = True
3.1442 	EXP 	boxRight: autoDraw = True
3.6277 	EXP 	cue: autoDraw = True
3.6406 	EXP 	CODE: 11 TRIGGER: (CUE_LEFT) TIMESTAMP: 6.685686
3.7153 	EXP 	cue: autoDraw = False
4.1905 	INFO 	Keyboard events cleared
4.1904 	EXP 	target: autoDraw = True
4.2029 	EXP 	CODE: 21 TRIGGER: (TARGET_LEFT) TIMESTAMP: 7.248074
4.4283 	EXP 	Device response: <KeyPress from None: t=4.424710750579834, value=left, duration=None>
4.4284 	EXP 	CODE: 31 TRIGGER: (RESPONSE_CORRECT) TIMESTAMP: 7.473510
4.4284 	EXP 	CODE: 40 TRIGGER: (ITI_ONSET) TIMESTAMP: 7.473542
4.4286 	DATA 	Keypress: left
4.4322 	EXP 	fixation: autoDraw = False
4.4322 	EXP 	boxLeft: autoDraw = False
4.4322 	EXP 	boxRight: autoDraw = False
4.4322 	EXP 	cue: autoDraw = False
4.4322 	EXP 	target: autoDraw = False
4.4322 	EXP 	blank: autoDraw = True
4.5323 	EXP 	Device response: <KeyPress from None: t=4.424710750579834, value=left, duration=0.10423493385314941>
5.2367 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'cueType': 'exogenous', 'validity': 'valid', 'cueSide': 'left', 'targetSide': 'left', 'cueFile': 'posner/cue_box.png', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
5.2377 	EXP 	CODE: 0 TRIGGER: (FIX_ONSET) TIMESTAMP: 8.282816
5.2408 	EXP 	blank: autoDraw = False
5.2408 	EXP 	blank: autoDraw = False
5.2408 	EXP 	cue: image = 'posner/cue_box.png'
5.2408 	EXP 	target: image = 'posner/target_dot.png'
5.2408 	EXP 	fixation: autoDraw = True
5.2408 	EXP 	boxLeft: autoDraw = True
5.2408 	EXP 	boxRight: autoDraw = True
5.7243 	EXP 	cue: autoDraw = True
5.7368 	EXP 	CODE: 11 TRIGGER: (CUE_LEFT) TIMESTAMP: 8.781939
5.8121 	EXP 	cue: autoDraw = False
6.1915 	INFO 	Keyboard events cleared
6.1915 	EXP 	target: autoDraw = True
6.2036 	EXP 	CODE: 21 TRIGGER: (TARGET_LEFT) TIMESTAMP: 9.248760
6.4496 	EXP 	Device response: <KeyPress from None: t=6.448949813842773, value=left, duration=None>
6.4497 	EXP 	CODE: 31 TRIGGER: (RESPONSE_CORRECT) TIMESTAMP: 9.494797
6.4497 	EXP 	CODE: 40 TRIGGER: (ITI_ONSET) TIMESTAMP: 9.494831
6.4499 	DATA 	Keypress: left
6.4537 	EXP 	fixation: autoDraw = False
6.4537 	EXP 	boxLeft: autoDraw = False
6.4537 	EXP 	boxRight: autoDraw = False
6.4537 	EXP 	cue: autoDraw = False
6.4537 	EXP 	target: autoDraw = False
6.4537 	EXP 	blank: autoDraw = True
6.5538 	EXP 	Device response: <KeyPress from None: t=6.448949813842773, value=left, duration=0.10294508934020996>
7.2628 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'cueType': None, 'validity': None, 'cueSide': None, 'targetSide': None, 'cueFile': None, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
7.2635 	EXP 	CODE: 0 TRIGGER: (FIX_ONSET) TIMESTAMP: 10.308615
7.2665 	EXP 	blank: autoDraw = False
7.2665 	EXP 	blank: autoDraw = False
7.2665 	EXP 	cue: image = None
7.2665 	EXP 	target: image = 'posner/target_dot.png'
7.2665 	EXP 	fixation: autoDraw = True
7.2665 	EXP 	boxLeft: autoDraw = True
7.2665 	EXP 	boxRight: autoDraw = True
7.7500 	EXP 	cue: autoDraw = True
7.7628 	EXP 	CODE: 12 TRIGGER: (CUE_RIGHT) TIMESTAMP: 10.807921
7.8375 	EXP 	cue: autoDraw = False
8.3669 	INFO 	Keyboard events cleared
8.3669 	EXP 	target: autoDraw = True
8.3797 	EXP 	CODE: 22 TRIGGER: (TARGET_RIGHT) TIMESTAMP: 11.424869
